categoría,nombre del plato,descripción,precio,URL de imagen
Hamburguesas,Burger clásica,"Burger, rodajas de tomate y lechuga orgánica.",S/. 10.00,
Hamburguesas,Cheese Burger,"Burger, doble queso edam, rodajas de tomate y lechuga orgánica.",S/. 12.00,
Hamburguesas,Cheddar Burger,"Burger, doble queso cheddar, rodajas de tomate, aros de cebolla y lechuga orgánica.",S/. 13.00,
Hamburguesas,Royal Burger,"Burger, huevo frito, queso edam, rodajas de tomate y lechuga orgánica.",S/. 12.00,
Hamburguesas,Royal Americana,"Burger, huevo frito, queso edam, jamón americano, rodajas de tomate y lechuga.",S/. 13.50,
Hamburguesas,Bacon Burger,"Burger, doble bacon, doble cheddar, cebolla caramelizada, rodajas de tomate y lechuga orgánica.",S/. 18.00,
Hamburguesas,American Burger,"Doble burger, doble cheddar, bacon, aros de cebolla, rodajas de tomate y lechuga orgánica.",S/. 20.00,
Hamburguesas,Hawaiian Burger,"Burger, triple queso edam, rodaja de piña, tocino, rodajas de tomate y lechuga orgánica.",S/. 18.00,
Filete o desmenuzado,Filete clásico,"Pollo, rodajas de tomate y lechuga orgánica.",S/. 10.00,
Filete o desmenuzado,Filete crispy,"Filete crujiente, rodajas de tomate y lechuga orgánica.",S/. 11.50,
Filete o desmenuzado,Filete con queso,"Pollo, doble queso, rodajas de tomate y lechuga orgánica.",S/. 12.50,
Filete o desmenuzado,Filete Royal,"Filete, queso edam, huevo, rodajas de tomate y lechuga orgánica.",S/. 12.50,
Filete o desmenuzado,Filete Royal Americana,"Pollo, huevo frito, queso edam, jamón americano, rodajas de tomate y lechuga.",S/. 14.00,
Filete o desmenuzado,Filete con todo,"Filete, queso edam, huevo, jamón, tocino, rodajas de tomate y lechuga orgánica.",S/. 16.00,
Chorizos,Chorizo clásico,"Chorizo, rodajas de tomate y lechuga orgánica.",S/. 10.00,
Chorizos,Chorizo con queso,"Chorizo, doble queso edam, rodajas de tomate y lechuga orgánica.",S/. 12.00,
Chorizos,Chorizo Royal,"Chorizo, huevo frito, queso edam, rodajas de tomate y lechuga orgánica.",S/. 12.00,
Chorizos,Chorizo Americano,"Chorizo, huevo frito, queso edam, jamón americano, rodajas de tomate y lechuga orgánica.",S/. 13.50,
Hot dogs,Hot dog clásico,"Hot dog, rodajas de tomate y lechuga orgánica.",S/. 7.00,
Hot dogs,Hot dog Royal,"Hot dog, huevo frito, queso edam, jamón americano, rodajas de tomate y lechuga orgánica.",S/. 10.00,
Salchipapas,Salchipapa clásica,Hot dog y papas.,S/. 13.00,
Salchipapas,Salchi pobre,"Hot dog, 2 huevos y papas.",S/. 15.00,
Salchipapas,Chori papa,Chorizo y papas.,S/. 15.00,
Salchipapas,Chicken Crispy,Trozos de pollo crujiente y papas.,S/. 15.00,
Salchipapas,Salchipollo,"Filete de pollo, hot dog y papas.",S/. 16.00,
Salchipapas,Salchipollo Crispy,"Hot dog, pollo crispy y papas.",S/. 17.00,
Salchipapas,Salchi Burger,"Hamburguesa, hot dog, 2 huevos, queso y papas.",S/. 18.50,
Salchipapas,Salchi Pollo Real,"Hot dog, filete, chorizo, 2 huevos, queso y papas.",S/. 21.50,
Salchipapas,Camionero,"Hot dog, filete, hamburguesa, chorizo, 2 huevos, queso y papas.",S/. 27.00,
Tequeños,Tequeños de queso,"Deliciosos tequeños rellenos de queso, doraditos y crujientes.",S/. 14.90,
Tequeños,Tequeños de queso con jamón,"Rellenos de queso y jamón, una combinación clásica que nunca falla.",S/. 15.90,
Tequeños,Tequeños de queso con hot dog,"Queso derretido con hot dog, el favorito de todos.",S/. 15.90,
Tequeños,Tequeños de lomo saltado,"Rellenos con lomo saltado, sabor peruano en cada bocado.",S/. 15.90,
Broaster,Mostrito,"1 pieza de pollo, papas y chaufa.",S/. 14.00,
Broaster,Combo Broaster 1,"1 pieza de pollo, papas, cremas y Pepsi personal.",S/. 14.00,
Broaster,Combo Broaster 2,"2 piezas de pollo, papas, cremas y Pepsi personal.",S/. 22.00,
Broaster,Combo Broaster 3,"4 piezas de broaster, papas, cremas y Pepsi de 1 litro.",S/. 43.90,
Alitas,Alitas broaster,Alitas crocantes estilo broaster.,S/. 18.00,
Alitas,Alitas búfalo,Alitas picantes en salsa búfalo.,S/. 18.00,
Alitas,Alitas en salsa de maracuyá,Alitas en salsa agridulce de maracuyá.,S/. 18.00,
Alitas,Alitas BBQ,Alitas bañadas en salsa BBQ ahumada.,S/. 18.00,
Alitas,Alitas Honey Mustard,Alitas en salsa de mostaza dulce y miel.,S/. 18.00,
Alitas,Alitas acevichadas,Alitas bañadas en crema acevichada.,S/. 18.00,
Alitas,Alitas Hot Wings,Alitas broaster picantes.,S/. 19.00,
Alitas,Alitas Teriyaki,Alitas en salsa teriyaki oriental.,S/. 19.00,
Alitas,Alitas anticucheras,Alitas con auténtico toque anticuchero.,S/. 19.00,
Alitas,Alitas diablas,Alitas en salsa extra picante 🌶️.,S/. 19.00,
Alitas,Duo alitas,Elige 2 deliciosos sabores.,S/. 19.00,
Alitas,Trío de alitas,"12 alitas, elige 3 sabores.",S/. 34.00,
Alitas,Alitas familiar,"24 alitas, elige 4 sabores y gaseosa Pepsi de 1 litro.",S/. 70.00,
Criollos,Lomo saltado,"Trozos de lomo salteados con cebolla, tomate, papas fritas y arroz.",S/. 24.00,
Criollos,Pollo saltado,"Pollo salteado con cebolla, tomate, papas fritas y arroz.",S/. 24.00,
Criollos,Pollo a la plancha,Pechuga a la plancha acompañada de papas y ensalada.,S/. 24.00,
Criollos,Arroz chaufa de pollo,Clásico arroz chaufa al wok con pollo.,S/. 18.00,
Criollos,Arroz chaufa de carne,Arroz chaufa al wok con trozos de lomo.,S/. 24.00,
Criollos,Arroz chaufa de cerdo,Arroz chaufa al wok con dados de cerdo.,S/. 20.00,
Criollos,Arroz chaufa 3 sabores,"Chaufa especial con pollo, carne y cerdo.",S/. 25.00,
Frappés,Frappe capuccino,,S/. 10.00,
Frappés,Frappe mocaccino,,S/. 10.00,
Frappés,Frappe Oreo,,S/. 10.00,
Frappés,Frappe caramelo,,S/. 10.00,
Frappés,Frappe chocolate,,S/. 10.00,
Frappés,Frappe fresa blueberry,,S/. 10.00,
Frappés,Frapuccino,,S/. 10.00,
Frappés,Frappe maracuyá,,S/. 10.00,
Frappés,Frappe mango,,S/. 10.00,
Frappés,Frappe lúcuma,,S/. 10.00,
Frappés,Promo 2 Frappés,,S/. 15.00,
Jugos naturales,Jugo de plátano,,S/. 7.00,
Jugos naturales,Jugo de fresa,,S/. 7.00,
Jugos naturales,Jugo de blueberry,,S/. 8.00,
Jugos naturales,Jugo de mango,,S/. 7.00,
Jugos naturales,Jugo de maracumango,,S/. 8.00,
Jugos naturales,Jugo de piña,,S/. 7.00,
Jugos naturales,Jugo de papaya,,S/. 7.00,
Jugos naturales,Jugo de fresa con papaya,,S/. 8.00,
Batidos,Batido de fresa,"Vaso de 16 oz. Fresa, leche y yogurt griego.",S/. 13.00,
Batidos,Banana Berry,"Plátano, fresa, leche y yogurt griego.",S/. 13.00,
Batidos,Papaya Energy,"Papaya, plátano, fresa, leche y yogurt griego.",S/. 13.00,
Batidos,Batido de mango,,S/. 13.00,
Batidos,Batido de maracumango,,S/. 13.00,
Batidos,Banana Fit Cream,,S/. 13.00,
Batidos,Batido de blueberry,,S/. 13.00,
Jarras,Jarra de chicha morada (½ Lt),,S/. 7.00,
Jarras,Jarra de chicha morada (1 Lt),,S/. 12.00,
Jarras,Jarra de limonada (½ Lt),,S/. 7.00,
Jarras,Jarra de limonada (1 Lt),,S/. 12.00,
Jarras,Jarra de maracuyá (½ Lt),,S/. 7.00,
Jarras,Jarra de maracuyá (1 Lt),,S/. 12.00,
Jarras,Jarra de naranjada (½ Lt),,S/. 7.00,
Jarras,Jarra de naranjada (1 Lt),,S/. 12.00,
Jarras,Jarra de fresa (½ Lt),,S/. 8.50,
Jarras,Jarra de fresa (1 Lt),,S/. 16.00,
Jarras,Jarra de mango (½ Lt),,S/. 8.50,
Jarras,Jarra de mango (1 Lt),,S/. 16.00,
Jarras,Jarra de papaya (½ Lt),,S/. 8.50,
Jarras,Jarra de papaya (1 Lt),,S/. 16.00,
Jarras,Jarra de piña (½ Lt),,S/. 8.50,
Jarras,Jarra de piña (1 Lt),,S/. 16.00,
Jarras,Jarra de maracumango (½ Lt),,S/. 9.50,
Jarras,Jarra de maracumango (1 Lt),,S/. 18.00,
Mojitos,Mojito clásico,,S/. 15.00,
Mojitos,Mojito de fresa,,S/. 15.00,
Mojitos,Mojito de maracuyá,,S/. 15.00,
Mojitos,Mojito de mango,,S/. 15.00,
Mojitos,Mojito de maracumango,,S/. 15.00,
Mojitos,Mojito Blue Curaçao,,S/. 15.00,
Mojitos,Mojito Jager,,S/. 18.00,
Mojitos,Mojito Blueberry,,S/. 18.00,
Mojitos,Mojito Corona,,S/. 18.00,
Mojitos,Promo 2 mojitos,,S/. 22.00,
Mojitos,Promo 2 mojitos Corona,,S/. 32.00,
Cócteles,Pisco Sour,,S/. 15.00,
Cócteles,Piña colada,,S/. 15.00,
Cócteles,Algarrobina,,S/. 15.00,
Cócteles,Laguna Azul,,S/. 15.00,
Cócteles,Machu Picchu,,S/. 15.00,
Cócteles,Daiquiri,Fresa o durazno.,S/. 15.00,
Cócteles,Chilcano,,S/. 15.00,
Cócteles,Pink Panther,,S/. 18.00,
Cócteles,Orgasmo,,S/. 18.00,
Cervezas,Cusqueña Dorada,,S/. 12.00,
Cervezas,Cusqueña Trigo,,S/. 12.00,
Cervezas,Cusqueña Negra,,S/. 12.00,
Cervezas,Pilsen,,S/. 12.00,
Cervezas,Corona,,S/. 18.00,
Gaseosas,Agua Cielo,,S/. 2.00,
Gaseosas,Agua San Luis,,S/. 3.00,
Gaseosas,Gaseosa de 600 ml,,S/. 5.00,
Gaseosas,Gaseosa de 1 Lt,,S/. 9.00,
Gaseosas,Gaseosa de 2 Lt,,S/. 16.00,
Bebidas calientes,Té,,S/. 3.00,
Bebidas calientes,Manzanilla,,S/. 3.00,
Bebidas calientes,Anís,,S/. 3.00,
Bebidas calientes,Hierba luisa,,S/. 3.00,
Bebidas calientes,Café gourmet,,S/. 4.00,
Bebidas calientes,Té negro,,S/. 5.00,
Bebidas calientes,Té de la abuela,,S/. 5.00,
Bebidas calientes,Emoliente clásico,,S/. 6.00,
Bebidas calientes,Emoliente de maracuyá,,S/. 6.00,
Bebidas calientes,Emoliente de fresa,,S/. 6.00,
Bebidas calientes,Emoliente de mango,,S/. 6.00,
Bebidas calientes,Chocolate caliente,,S/. 10.00,
Bebidas refrescantes,Iced Tea del campo,"Infusión de cedrón, eucalipto, linaza, hierba luisa, manzanilla y limón.",S/. 8.00,
Bebidas refrescantes,Iced Tea con naranja y limón,Infusión de té con naranja y limón.,S/. 8.00,
Bebidas refrescantes,Iced Tea fresa con arándanos,Infusión de té con fresa y arándanos.,S/. 10.00,
Bebidas refrescantes,Iced Tea fresa con naranja,Infusión de té con zumo de naranja y fresa.,S/. 8.00,
Bebidas refrescantes,Iced Coffee Latte,Leche con un shot de café acompañado de crema batida.,S/. 10.00,
Bebidas refrescantes,Chocolate helado,"Acompañado de crema batida, fudge de chocolate y marshmallows.",S/. 10.00,
Guarniciones,Porción de arroz blanco,,S/. 6.00,
Guarniciones,Porción de arroz chaufa,,S/. 7.00,
Guarniciones,Porción de papas personal,,S/. 7.00,
Guarniciones,1/2 porción de papas,,S/. 14.00,
Guarniciones,1 porción de papas familiar,,S/. 24.00,
